name,avis,link
141. Noe Restaurant & Bar,"4,0 sur 5 bulles224 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364703-Reviews-Noe_Restaurant_Bar-Los_Angeles_California.html
142. Blu Jam Cafe,"4,5 sur 5 bulles61 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d7354962-Reviews-Blu_Jam_Cafe-Los_Angeles_California.html
143. Cafe Fig,"4,5 sur 5 bulles22 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d23603319-Reviews-Cafe_Fig-Los_Angeles_California.html
144. Ruth's Chris Steak House,"4,5 sur 5 bulles197 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d348828-Reviews-Ruth_s_Chris_Steak_House-Los_Angeles_California.html
145. Bludsos BBQ,"4,5 sur 5 bulles164 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d5013667-Reviews-Bludsos_BBQ-Los_Angeles_California.html
146. Takami Sushi and Robata,"4,0 sur 5 bulles208 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d792772-Reviews-Takami_Sushi_and_Robata-Los_Angeles_California.html
147. Bossa Nova Brazilian Cuisine,"4,5 sur 5 bulles543 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d350443-Reviews-Bossa_Nova_Brazilian_Cuisine-Los_Angeles_California.html
148. Swingers,"4,0 sur 5 bulles297 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d350486-Reviews-Swingers-Los_Angeles_California.html
149. The Ivy,"4,0 sur 5 bulles2 196 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d348150-Reviews-The_Ivy-Los_Angeles_California.html
150. Mario's Peruvian & Seafood,"4,0 sur 5 bulles122 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d364711-Reviews-Mario_s_Peruvian_Seafood-Los_Angeles_California.html
151. Sushi A Go Go,"4,5 sur 5 bulles750 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d509121-Reviews-Sushi_A_Go_Go-Los_Angeles_California.html
152. Sage Plant Based Bistro & Brewery,"4,5 sur 5 bulles141 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d14170709-Reviews-Sage_Plant_Based_Bistro_Brewery-Los_Angeles_California.html
153. Vespaio,"3,5 sur 5 bulles184 avis",https://www.tripadvisor.fr/Restaurant_Review-g32655-d8506268-Reviews-Vespaio-Los_Angeles_California.html
